FirstName|LastName|FN|Phone|Email|Group|Marks|Marks|Marks|Marks
Larissa|Abigail|57760357|(089) 42499914|molestie.dapibus@dignissimmagnaa.edu|1|6|4|2|4
Rama|Jordan|67241067|(08978) 3281105|dictum.mi@cursusvestibulumMauris.org|2|4|2|2|4
Vanna|Evelyn|73960473|(02129) 2072949|magnis.dis@mollisPhaselluslibero.edu|4|5|5|5|4
Lynn|Carly|57760757|(094) 95618911|tellus@vitaerisusDuis.ca|1|3|4|4|4
Judith|Cheryl|54760354|(01965) 0477499|urna.nec.luctus@ultriciesornare.org|4|6|6|5|2
Montana|Cade|59290359|(02) 530449|lacus.Nulla@augueut.co.uk|2|4|3|2|5
Kai|Alfonso|56250556|(032819) 439000|dictum.eu.eleifend@Loremipsumdolor.com|2|4|6|2|3
Isaiah|Rae|53290753|(004) 11190021|Fusce.diam.nunc@tincidunttempus.net|4|5|2|2|5
Sawyer|Gisela|68890868|(02) 84003819|Nulla@dictumPhasellusin.org|3|6|5|5|5
Troy|Aurora|70560770|(053) 20524785|cubilia@eratSed.net|3|3|4|3|3
Isaiah|MacKensie|53290453|(00959) 0760398|ligula@interdum.net|1|5|2|4|3
Aubrey|Louis|42250342|(002) 34497552|quam@interdumfeugiat.co.uk|1|2|2|4|2
Unity|Jennifer|72251072|(033486) 476581|pellentesque@pedenec.org|4|3|5|5|3
Holly|Lane|51841051|(030647) 311866|In.tincidunt@ipsum.org|2|6|3|2|3
Kaden|Elizabeth|56250856|(0531) 45907758|Pellentesque@etrisus.edu|4|6|3|4|5
Geoffrey|Ulric|50410550|(030664) 057093|massa.Integer@consectetueradipiscing.edu|2|2|2|2|5
Michelle|Eleanor|59291159|(0008) 14323504|rutrum@Fusce.org|3|6|4|4|4
Jaden|Cedric|54760554|(06878) 8909192|sagittis@mollis.com|3|2|2|4|2
Meredith|Dante|59291059|(033255) 611289|Cras@dolor.co.uk|1|4|3|6|3
Ora|Xyla|62410762|(08695) 3166142|Mauris.ut.quam@turpisegestasAliquam.edu|3|6|3|3|2
Dora|Griffith|46241146|(0539) 47383304|eget@abv.bg|2|2|3|4|4
Jescie|Erin|54760754|(01075) 9401239|rutrum.urna.nec@maurisid.net|3|6|4|3|2
Illana|Orson|53290453|(030872) 917032|in.lobortis@ac.org|2|3|6|5|2
Kitra|Kasper|56251056|(039418) 556789|fringilla.purus.mauris@viverraMaecenasiaculis.ca|3|3|5|4|5
Nerea|Aaron|60840960|(031217) 497292|purus@pedenecante.ca|3|3|2|5|2
Judah|Eleanor|54760554|(00268) 7702781|dui.Fusce@utdolordapibus.net|3|4|6|5|3
Castor|Gillian|44890744|(033) 72564757|libero.Proin.mi@abv.bg|4|3|4|2|6
Allegra|Jeremy|42250942|(07304) 4803591|lorem@erosNamconsequat.org|1|6|4|5|5
Kasimir|Madeson|56250656|(039802) 565567|nascetur.ridiculus.mus@Phasellus.ca|4|2|3|5|6
Ezekiel|Gretchen|47610347|(029) 35109725|scelerisque@sitametconsectetuer.co.uk|2|3|6|5|5
Paloma|Quon|64000664|(09009) 1916119|sapien@justo.org|4|4|4|3|4
Rafael|Ann|67240767|(02454) 7203164|nibh.Donec@diamat.ca|1|5|2|6|2
Kelly|Graham|56250856|(08935) 2099130|est.Nunc@orciconsectetuereuismod.com|3|5|5|4|3
Orla|Wyatt|62411062|(06193) 0997387|arcu.Vestibulum.ante@atvelitCras.ca|4|2|2|3|2
Martena|Harlan|59290359|(02) 3654451|adipiscing@vulputate.co.uk|3|3|3|5|3
Jamalia|Idola|54761054|(0080) 96803745|nisi.nibh@nulla.ca|1|2|3|6|4
Reed|Wade|67240967|(023) 38447342|Vivamus.rhoncus@laoreetipsumCurabitur.ca|1|3|2|6|6
Martena|Declan|59290559|(04275) 3135001|Suspendisse.commodo@vestibulum.com|3|4|3|6|6
Dean|Hadassah|46240346|(02) 224986|elit@egestasnuncsed.org|4|2|4|3|3
Kiona|Marah|56250756|(035340) 657399|mauris@dis.org|1|6|2|4|4
Destiny|Abdul|46240346|(031261) 975421|egestas.a.dui@ligula.net|2|5|5|4|4
Merritt|Sybil|59290759|(061) 32459268|Donec.dignissim@mollisvitae.net|1|5|6|3|2
Stephen|Justina|68890368|(077) 23633556|placerat.augue@ligula.ca|4|6|3|6|5
Levi|Nissim|57760957|(037312) 931012|facilisi.Sed@ut.ca|1|6|5|3|4
Macy|Scott|59290859|(045) 40058063|dis.parturient@pedenec.org|1|4|2|4|3
Marshall|Jordan|59290859|(0859) 80409856|Integer.aliquam@ultrices.com|3|4|6|2|2
Giacomo|Rhoda|50410450|(02) 496033|iaculis@commodoauctor.net|2|4|5|4|6
Ursa|Zahir|72250772|(08942) 3796241|nunc.est.mollis@maurisipsum.ca|1|4|3|5|2
Oliver|Kadeem|62411162|(0295) 49374686|malesuada.fames.ac@abv.bg|2|6|5|5|2
Pascale|Quamar|64000764|(0795) 40344590|Curae.Donec@risusMorbimetus.edu|2|4|4|6|6
Oscar|Jana|62411162|(059) 10148002|mollis.lectus.pede@eu.net|1|5|3|3|4
Aurelia|Audrey|42250642|(038146) 883768|in.consequat@tinciduntcongueturpis.edu|1|2|3|4|2
Harper|Winter|51840551|(054) 69076384|nec.urna.suscipit@libero.org|4|2|3|6|3
Nicholas|Warren|60840360|(06710) 0942274|lacus.Etiam.bibendum@Phasellusdolor.edu|2|6|4|6|2
Ora|Imani|62411162|(0506) 14592018|at@famesacturpis.co.uk|1|6|4|2|6
